rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
190,SafeSAFE,$0.2080,5.44%,12.45%,30.31%,"$143.02M$143,022,006","$62,634,300298.53M",687.28M SAFE,2
191,FourFORM,$0.3770,0.96%,0.30%,6.04%,"$143.98M$143,976,004","$7,089,34518.84M",381.86M FORM,2
192,CreditcoinCTC,$0.2803,0.00%,0.83%,4.64%,"$143.13M$143,132,328","$4,032,82414.39M",510.5M CTC,2
193,Dog (Bitcoin)DOG,$0.001428,0.24%,3.38%,2.71%,"$142.87M$142,867,088","$2,233,6441.56B",100B DOG,2
194,SuperVerseSUPER,$0.2226,0.77%,0.98%,2.69%,"$141.87M$141,872,592","$27,589,547123.83M",637.16M SUPER,2
195,WEMIXWEMIX,$0.3059,1.08%,4.88%,14.31%,"$141.09M$141,091,979","$1,272,7464.16M",461.12M WEMIX,2
196,BerachainBERA,$0.9435,2.88%,12.62%,58.55%,"$135.78M$135,776,219","$451,750,123463.78M",143.9M BERA,2
197,CoW ProtocolCOW,$0.2521,0.13%,3.54%,12.56%,"$139.78M$139,776,571","$8,074,77931.95M",554.4M COW,2
198,CoreCORE,$0.1332,1.21%,3.94%,6.85%,"$139.03M$139,026,918","$16,571,842124.39M",1.04B CORE,2
199,GasGAS,$2.09,0.15%,2.02%,2.32%,"$136.01M$136,012,744","$4,272,1362.04M",64.99M GAS,2
200,KusamaKSM,$7.70,0.20%,3.04%,1.00%,"$135.81M$135,812,596","$6,127,615794.70K",17.63M KSM,2
201,RainRAIN,$0.009244,1.34%,2.50%,3.34%,"$3.14B$3,140,542,639","$64,333,9716.96B",339.71B RAIN,3
202,Falcon USDUSDf,$0.9974,0.01%,0.04%,0.07%,"$2.05B$2,052,171,017","$627,910629.59K",2.05B USDf,3
203,Jupiter Perps LPJLP,$4.88,0.01%,0.56%,3.23%,"$1.61B$1,613,854,315","$12,536,2032.56M",330.22M JLP,3
